us_city,state_name,county_name,us_city_lat,us_city_long,intl_city,country,flag_emoji,city_lat,city_long,continent
South Alexandria,New Hampshire,Grafton,43.5575741,-71.7948024,Alexandria,Egypt,🇪🇬,31.1991806,29.8951716,Africa
Alexandria Bay,New York,Jefferson,44.3358836,-75.9177309,Alexandria,Egypt,🇪🇬,31.1991806,29.8951716,Africa
Alexandria Center,New York,Jefferson,44.3075516,-75.8760616,Alexandria,Egypt,🇪🇬,31.1991806,29.8951716,Africa
Cairo,New York,Greene,42.2989749,-73.9984659,Cairo,Egypt,🇪🇬,30.0443879,31.2357257,Africa
South Cairo,New York,Greene,42.2770311,-73.9567979,Cairo,Egypt,🇪🇬,30.0443879,31.2357257,Africa
Cairo Junction,New York,Greene,42.2531432,-73.9665207,Cairo,Egypt,🇪🇬,30.0443879,31.2357257,Africa
Cairo,North Carolina,Anson,34.8845989,-79.932838,Cairo,Egypt,🇪🇬,30.0443879,31.2357257,Africa
Cairo,Ohio,Stark,40.9045021,-81.3603887,Cairo,Egypt,🇪🇬,30.0443879,31.2357257,Africa
New Alexandria,Ohio,Jefferson,40.2906252,-80.6792445,Alexandria,Egypt,🇪🇬,31.1991806,29.8951716,Africa
Alexandria,Ohio,Scioto,38.7245206,-83.0479536,Alexandria,Egypt,🇪🇬,31.1991806,29.8951716,Africa
West Cairo,Ohio,Allen,40.8319958,-84.0810575,Cairo,Egypt,🇪🇬,30.0443879,31.2357257,Africa
Cairo,Ohio,Allen,40.8319958,-84.0860576,Cairo,Egypt,🇪🇬,30.0443879,31.2357257,Africa
West Alexandria,Ohio,Preble,39.7444973,-84.5321727,Alexandria,Egypt,🇪🇬,31.1991806,29.8951716,Africa
Alexandria,Ohio,Licking,40.0889524,-82.6123872,Alexandria,Egypt,🇪🇬,31.1991806,29.8951716,Africa
Cairo,Oklahoma,Coal,34.5906488,-96.1319412,Cairo,Egypt,🇪🇬,30.0443879,31.2357257,Africa
Cairo,Oregon,Malheur,43.9959965,-117.0090508,Cairo,Egypt,🇪🇬,30.0443879,31.2357257,Africa
Alexandria,Pennsylvania,Huntingdon,40.5564586,-78.0977847,Alexandria,Egypt,🇪🇬,31.1991806,29.8951716,Africa
New Alexandria,Pennsylvania,Westmoreland,40.3986791,-79.4219833,Alexandria,Egypt,🇪🇬,31.1991806,29.8951716,Africa
Alexandria,South Dakota,Hanson,43.653592,-97.7828482,Alexandria,Egypt,🇪🇬,31.1991806,29.8951716,Africa
Cairo,Tennessee,Sumner,36.360882,-86.3636029,Cairo,Egypt,🇪🇬,30.0443879,31.2357257,Africa
Cairo Bend,Tennessee,Wilson,36.2389421,-86.4002706,Cairo,Egypt,🇪🇬,30.0443879,31.2357257,Africa
Alexandria,Tennessee,DeKalb,36.0775587,-86.0333222,Alexandria,Egypt,🇪🇬,31.1991806,29.8951716,Africa
Cairo,Tennessee,Crockett,35.8234062,-89.1661786,Cairo,Egypt,🇪🇬,30.0443879,31.2357257,Africa
